,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PTGX,"Protagonist Therapeutics, Inc.",,57.51 +19.16 (+49.96%),19.16,+49.96%,3.501M,725662,3.53B,13.60,27.32%,
1,VRN,Veren Inc.,,5.61 +0.70 (+14.25%),0.7,+14.25%,45.033M,16.737M,3.453B,17.53,-34.97%,
2,DNBBF,DNB Bank ASA,,25.62 +1.99 (+8.42%),1.99,+8.42%,1.045M,51662,37.986B,9.52,25.81%,
3,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.45 +2.16 (+7.91%),2.16,+7.91%,3.578M,2.069M,4.501B,267.73,50.44%,
4,ELF,"e.l.f. Beauty, Inc.",,76.41 +5.73 (+8.11%),5.73,+8.11%,2.802M,2.645M,4.309B,45.75,-63.56%,
5,TNXP,Tonix Pharmaceuticals Holding Corp.,,14.01 +0.99 (+7.60%),0.99,+7.60%,1.935M,1.975M,78.322M,-,-98.87%,
6,MWA,"Mueller Water Products, Inc.",,27.05 +2.00 (+7.96%),2.0,+7.96%,2.54M,1.336M,4.235B,31.09,59.35%,
7,BECN,"Beacon Roofing Supply, Inc.",,119.38 +8.28 (+7.45%),8.28,+7.45%,2.691M,821962,7.352B,21.02,30.12%,
8,ENPH,"Enphase Energy, Inc.",,65.44 +3.81 (+6.18%),3.81,+6.18%,3.695M,4.035M,8.669B,87.25,-52.11%,
9,LSRCY,Lasertec Corporation,,20.02 +1.11 (+5.87%),1.11,+5.87%,20091,116200,9.028B,16.68,-62.68%,
10,AMKBY,A.P. Møller - Mærsk A/S,,9.63 +0.51 (+5.59%),0.51,+5.59%,89255,201637,29.427B,4.99,31.27%,
11,NSP,"Insperity, Inc.",,95.10 +4.74 (+5.24%),4.74,+5.24%,348958,439558,3.54B,39.30,-10.39%,
12,REGN,"Regeneron Pharmaceuticals, Inc.",,743.50 +35.99 (+5.09%),35.99,+5.09%,687003,899898,81.283B,19.39,-26.64%,
13,TTC,The Toro Company,,77.01 +3.76 (+5.13%),3.76,+5.13%,858070,1.078M,7.687B,19.70,-17.41%,
14,AES,The AES Corporation,,11.80 +0.55 (+4.84%),0.55,+4.84%,9.531M,15.023M,8.387B,4.98,-31.36%,
15,AAP,"Advance Auto Parts, Inc.",,37.22 +1.85 (+5.24%),1.85,+5.24%,2.346M,2.144M,2.226B,-,-53.32%,
16,WSC,WillScot Holdings Corporation,,29.47 +1.40 (+4.99%),1.4,+4.99%,3.945M,2.445M,5.41B,196.47,-39.04%,
17,CBT,Cabot Corporation,,89.00 +4.12 (+4.85%),4.12,+4.85%,282886,423451,4.825B,11.85,-3.76%,
18,BLTE,"Belite Bio, Inc",,66.16 +2.97 (+4.70%),2.97,+4.70%,116358,39818,2.107B,-,41.68%,
19,DFH,"Dream Finders Homes, Inc.",,26.56 +1.18 (+4.67%),1.18,+4.67%,280205,552039,2.481B,7.95,-33.85%,
20,ADM,Archer-Daniels-Midland Company,,51.68 +2.24 (+4.53%),2.24,+4.53%,3.323M,3.641M,24.791B,14.16,-9.96%,
21,DRPRY,Dr. Ing. h.c. F. Porsche AG,,6.21 +0.27 (+4.55%),0.27,+4.55%,18953,264724,28.287B,13.21,-32.54%,
22,EQNR,Equinor ASA,,24.20 +1.03 (+4.47%),1.03,+4.47%,3.486M,3.958M,65.738B,7.78,-10.47%,
23,SCI,Service Corporation International,,84.42 +3.56 (+4.40%),3.56,+4.40%,849830,1.141M,12.174B,23.92,7.66%,
24,HCA,"HCA Healthcare, Inc.",,344.66 +14.51 (+4.40%),14.51,+4.40%,1.272M,1.613M,85.594B,15.67,2.77%,
25,RMD,ResMed Inc.,,242.82 +10.38 (+4.47%),10.38,+4.47%,743359,930212,35.662B,28.70,22.50%,
26,ETSY,"Etsy, Inc.",,48.93 +2.13 (+4.55%),2.13,+4.55%,2.49M,3.736M,5.239B,20.82,-35.82%,
27,WES,"Western Midstream Partners, LP",,40.57 +1.65 (+4.24%),1.65,+4.24%,930868,1.329M,15.47B,10.09,14.50%,
28,LNTH,"Lantheus Holdings, Inc.",,110.86 +4.52 (+4.25%),4.52,+4.25%,722860,901577,7.591B,25.43,69.55%,
29,SMCAY,SMC Corporation,,19.64 +0.79 (+4.19%),0.79,+4.19%,52320,646891,25.038B,23.11,-35.33%,
30,AWK,"American Water Works Company, Inc.",,151.07 +5.67 (+3.90%),5.67,+3.90%,1.518M,1.32M,29.45B,28.03,20.83%,
31,FIZZ,National Beverage Corp.,,42.51 +1.64 (+4.01%),1.64,+4.01%,157661,185420,3.98B,21.36,-15.87%,
32,PPC,Pilgrim's Pride Corporation,,56.65 +2.03 (+3.73%),2.03,+3.73%,512620,1.171M,13.434B,12.40,66.22%,
