,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
33,BIIB,Biogen Inc.,,155.89 +5.51 (+3.66%),5.51,+3.66%,1.097M,1.543M,22.818B,13.96,-34.64%,
34,CWEN-A,"Clearway Energy, Inc.",,26.81 +0.89 (+3.43%),0.89,+3.43%,280082,192033,5.639B,35.75,25.10%,
35,MKC,"McCormick & Company, Incorporated",,85.62 +3.00 (+3.63%),3.0,+3.63%,1.866M,1.954M,22.966B,29.32,18.21%,
36,TSCO,Tractor Supply Company,,58.90 +2.01 (+3.52%),2.01,+3.52%,2.999M,5.282M,31.306B,28.87,14.29%,
37,UAA,"Under Armour, Inc.",,7.34 +0.26 (+3.66%),0.26,+3.66%,6.916M,10.564M,3.018B,-,-14.70%,
38,CTSH,Cognizant Technology Solutions Corporation,,86.14 +2.91 (+3.50%),2.91,+3.50%,4.805M,3.387M,42.606B,19.10,8.15%,
39,COLM,Columbia Sportswear Company,,86.83 +2.88 (+3.42%),2.88,+3.42%,458179,649450,4.806B,22.73,5.59%,
40,NEE,"NextEra Energy, Inc.",,75.45 +2.62 (+3.60%),2.62,+3.60%,8.698M,10.844M,155.203B,22.39,25.85%,
41,MEDP,"Medpace Holdings, Inc.",,344.48 +11.67 (+3.51%),11.67,+3.51%,278034,289586,10.495B,27.32,-17.49%,
42,NOC,Northrop Grumman Corporation,,503.43 +16.91 (+3.48%),16.91,+3.48%,764214,926800,72.875B,17.75,5.94%,
43,NOG,"Northern Oil and Gas, Inc.",,28.41 +0.92 (+3.35%),0.92,+3.35%,1.265M,1.667M,2.816B,5.53,-25.20%,
44,HOG,"Harley-Davidson, Inc.",,26.97 +0.88 (+3.37%),0.88,+3.37%,2.618M,2.09M,3.359B,7.84,-33.14%,
45,CAG,"Conagra Brands, Inc.",,28.14 +0.91 (+3.32%),0.91,+3.32%,4.931M,5.714M,13.429B,27.32,-4.56%,
46,CWEN,"Clearway Energy, Inc.",,28.50 +0.88 (+3.19%),0.88,+3.19%,693180,856917,5.626B,38.00,23.91%,
47,PCAR,PACCAR Inc,,113.74 +3.68 (+3.34%),3.68,+3.34%,2.374M,2.406M,59.691B,14.40,-3.48%,
48,GIS,"General Mills, Inc.",,66.63 +2.13 (+3.30%),2.13,+3.30%,3.836M,4.883M,36.729B,14.48,-1.77%,
49,AEP,"American Electric Power Company, Inc.",,108.00 +3.38 (+3.23%),3.38,+3.23%,2.142M,3.197M,57.584B,19.35,24.95%,
50,COTY,Coty Inc.,,6.03 +0.18 (+2.99%),0.18,+2.99%,3.377M,6.507M,5.254B,-,-53.86%,
51,COP,ConocoPhillips,,93.51 +2.88 (+3.18%),2.88,+3.18%,5.499M,7.534M,118.98B,11.97,-21.36%,
52,MRNA,"Moderna, Inc.",,36.60 +0.99 (+2.78%),0.99,+2.78%,7.026M,11.547M,14.121B,-,-68.20%,
53,BEPC,Brookfield Renewable Corporation,,28.54 +0.87 (+3.14%),0.87,+3.14%,524389,1.009M,5.157B,21.79,9.63%,
54,MUR,Murphy Oil Corporation,,26.11 +0.75 (+2.96%),0.75,+2.96%,1.682M,2.535M,3.808B,9.60,-39.63%,
55,ORA,"Ormat Technologies, Inc.",,72.79 +2.15 (+3.04%),2.15,+3.04%,371685,665472,4.404B,35.68,4.25%,
56,BF-B,Brown-Forman Corporation,,38.08 +1.15 (+3.11%),1.15,+3.11%,2.48M,3.267M,17.94B,18.22,-33.05%,
57,BLDR,"Builders FirstSource, Inc.",,138.41 +3.90 (+2.90%),3.9,+2.90%,926352,1.698M,15.726B,15.26,-30.20%,
58,MGEE,"MGE Energy, Inc.",,92.74 +2.78 (+3.08%),2.78,+3.08%,107792,164260,3.386B,27.85,13.73%,
59,RHP,"Ryman Hospitality Properties, Inc.",,101.81 +2.99 (+3.03%),2.99,+3.03%,1.056M,515036,6.099B,23.24,-14.99%,
60,LKQ,LKQ Corporation,,44.67 +1.29 (+2.99%),1.29,+2.99%,1.82M,2.364M,11.578B,16.99,-16.16%,
61,ED,"Consolidated Edison, Inc.",,106.75 +3.11 (+3.00%),3.11,+3.00%,1.295M,2.608M,37.689B,20.37,14.14%,
