,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PTGX,"Protagonist Therapeutics, Inc.",,57.62 +19.27 (+50.23%),19.27,+50.23%,3.491M,725662,3.537B,13.62,27.32%,
1,VRN,Veren Inc.,,5.62 +0.71 (+14.45%),0.71,+14.45%,44.865M,16.737M,3.459B,17.56,-34.97%,
2,DNBBF,DNB Bank ASA,,25.62 +1.99 (+8.42%),1.99,+8.42%,1.045M,51662,37.986B,9.52,25.81%,
3,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.52 +2.23 (+8.17%),2.23,+8.17%,3.564M,2.069M,4.512B,268.36,50.44%,
4,ELF,"e.l.f. Beauty, Inc.",,76.39 +5.71 (+8.09%),5.71,+8.09%,2.797M,2.645M,4.309B,45.75,-63.56%,
5,MWA,"Mueller Water Products, Inc.",,27.00 +1.95 (+7.78%),1.95,+7.78%,2.532M,1.336M,4.228B,31.03,59.35%,
6,BECN,"Beacon Roofing Supply, Inc.",,119.40 +8.30 (+7.47%),8.3,+7.47%,2.684M,821962,7.353B,21.02,30.12%,
7,TNXP,Tonix Pharmaceuticals Holding Corp.,,14.00 +0.98 (+7.53%),0.98,+7.53%,1.928M,1.975M,78.266M,-,-98.87%,
8,ENPH,"Enphase Energy, Inc.",,65.51 +3.88 (+6.30%),3.88,+6.30%,3.687M,4.035M,8.678B,87.35,-52.11%,
9,LSRCY,Lasertec Corporation,,20.02 +1.11 (+5.87%),1.11,+5.87%,20091,116200,9.028B,16.68,-62.68%,
10,AMKBY,A.P. Møller - Mærsk A/S,,9.63 +0.51 (+5.59%),0.51,+5.59%,89255,201637,29.427B,4.99,31.27%,
11,NSP,"Insperity, Inc.",,95.10 +4.74 (+5.25%),4.74,+5.25%,347914,439558,3.541B,39.30,-10.39%,
12,REGN,"Regeneron Pharmaceuticals, Inc.",,743.58 +36.07 (+5.10%),36.07,+5.10%,685820,899898,81.291B,19.39,-26.64%,
13,TTC,The Toro Company,,76.95 +3.70 (+5.05%),3.7,+5.05%,856440,1.078M,7.681B,19.68,-17.41%,
14,AES,The AES Corporation,,11.82 +0.57 (+5.11%),0.57,+5.11%,9.494M,15.023M,8.408B,4.99,-31.36%,
15,WSC,WillScot Holdings Corporation,,29.48 +1.41 (+5.02%),1.41,+5.02%,3.931M,2.445M,5.412B,196.53,-39.04%,
16,AAP,"Advance Auto Parts, Inc.",,37.15 +1.78 (+5.03%),1.78,+5.03%,2.342M,2.144M,2.221B,-,-53.32%,
17,CBT,Cabot Corporation,,89.04 +4.16 (+4.90%),4.16,+4.90%,279853,423451,4.828B,11.86,-3.76%,
18,BLTE,"Belite Bio, Inc",,66.16 +2.97 (+4.70%),2.97,+4.70%,116358,39818,2.107B,-,41.68%,
19,DFH,"Dream Finders Homes, Inc.",,26.56 +1.18 (+4.67%),1.18,+4.67%,280092,552039,2.481B,7.95,-33.85%,
20,DRPRY,Dr. Ing. h.c. F. Porsche AG,,6.21 +0.27 (+4.55%),0.27,+4.55%,18953,264724,28.287B,13.21,-32.54%,
21,ADM,Archer-Daniels-Midland Company,,51.71 +2.27 (+4.59%),2.27,+4.59%,3.316M,3.641M,24.806B,14.17,-9.96%,
22,EQNR,Equinor ASA,,24.22 +1.05 (+4.51%),1.05,+4.51%,3.48M,3.958M,65.766B,7.79,-10.47%,
23,SCI,Service Corporation International,,84.47 +3.61 (+4.46%),3.61,+4.46%,848550,1.141M,12.182B,23.93,7.66%,
24,HCA,"HCA Healthcare, Inc.",,344.67 +14.52 (+4.40%),14.52,+4.40%,1.265M,1.613M,85.596B,15.67,2.77%,
25,RMD,ResMed Inc.,,242.67 +10.23 (+4.40%),10.23,+4.40%,742707,930212,35.64B,28.68,22.50%,
26,ETSY,"Etsy, Inc.",,48.82 +2.02 (+4.32%),2.02,+4.32%,2.482M,3.736M,5.227B,20.77,-35.82%,
27,LNTH,"Lantheus Holdings, Inc.",,110.81 +4.47 (+4.20%),4.47,+4.20%,722232,901577,7.588B,25.42,69.55%,
28,WES,"Western Midstream Partners, LP",,40.62 +1.71 (+4.38%),1.71,+4.38%,927777,1.329M,15.491B,10.11,14.50%,
29,SMCAY,SMC Corporation,,19.64 +0.79 (+4.19%),0.79,+4.19%,52320,646891,25.038B,23.11,-35.33%,
30,AWK,"American Water Works Company, Inc.",,151.31 +5.91 (+4.06%),5.91,+4.06%,1.514M,1.32M,29.497B,28.07,20.83%,
31,FIZZ,National Beverage Corp.,,42.47 +1.60 (+3.90%),1.6,+3.90%,155824,185420,3.976B,21.34,-15.87%,
32,BIIB,Biogen Inc.,,156.03 +5.65 (+3.76%),5.65,+3.76%,1.094M,1.543M,22.839B,13.97,-34.64%,
33,TSCO,Tractor Supply Company,,58.94 +2.05 (+3.60%),2.05,+3.60%,2.995M,5.282M,31.329B,28.89,14.29%,
34,PPC,Pilgrim's Pride Corporation,,56.66 +2.04 (+3.73%),2.04,+3.73%,507865,1.171M,13.435B,12.40,66.22%,
35,COLM,Columbia Sportswear Company,,86.86 +2.90 (+3.46%),2.9,+3.46%,457455,649450,4.807B,22.74,5.59%,
36,MKC,"McCormick & Company, Incorporated",,85.63 +3.01 (+3.64%),3.01,+3.64%,1.863M,1.954M,22.969B,29.33,18.21%,
